N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
16,32,8,2,width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_5-layer,conv-b2/Convolution,2274657,2073953,411041792,2048,308281344,308281344,411041792,25690112,231213056,205520896,192,65536,16384,32768,16
16,32,8,2,width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_6-base,conv-b2/Convolution,2274657,2073953,411041792,2048,308281344,308281344,411041792,25690112,231213056,205520896,192,65536,16384,32768,16
16,32,8,2,width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_6-layer,conv2/Convolution,6472800,5870688,1849688064,18432,1233125376,1233125376,924844032,9633792,626214912,616562688,192,65536,16384,32768,16
16,32,8,2,width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_6-layer,conv-b2/Convolution,2274657,2073953,411041792,2048,308281344,308281344,411041792,25690112,231213056,205520896,192,65536,16384,32768,16
16,32,8,2,width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_7-base,conv-b2/Convolution,2274657,2073953,411041792,2048,308281344,308281344,411041792,25690112,231213056,205520896,192,65536,16384,32768,16
16,32,8,2,width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_7-layer,conv2/Convolution,6472816,5870704,2157969408,21504,1233125376,1233125376,924844032,9633792,626217984,616562688,192,65536,16384,32768,16
16,32,8,2,width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_7-layer,conv-b2/Convolution,2274657,2073953,411041792,2048,308281344,308281344,411041792,25690112,231213056,205520896,192,65536,16384,32768,16
16,32,8,2,width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_8-base,conv-b2/Convolution,2274657,2073953,411041792,2048,308281344,308281344,411041792,25690112,231213056,205520896,192,65536,16384,32768,16
16,32,8,2,width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_8-layer,conv2/Convolution,6472832,5870720,2466250752,24576,1233125376,1233125376,924844032,9633792,626221056,616562688,192,65536,16384,32768,16
16,32,8,2,width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_8-layer,conv-b2/Convolution,2274657,2073953,411041792,2048,308281344,308281344,411041792,25690112,231213056,205520896,192,65536,16384,32768,16
16,32,8,2,width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_4-wb_1-base,conv-b2/Convolution,2274657,2073953,411041792,2048,308281344,308281344,411041792,25690112,231213056,205520896,192,65536,16384,32768,16
16,32,8,2,width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_4-wb_1-layer,conv2/Convolution,6489494,5887382,308281344,12288,1233125376,1233125376,1233125376,12845056,629420032,616562688,192,65536,16384,32768,16
16,32,8,2,width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_4-wb_1-layer,conv-b2/Convolution,2274657,2073953,411041792,2048,308281344,308281344,411041792,25690112,231213056,205520896,192,65536,16384,32768,16
16,32,8,2,width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_4-wb_2-base,conv-b2/Convolution,2274657,2073953,411041792,2048,308281344,308281344,411041792,25690112,231213056,205520896,192,65536,16384,32768,16
16,32,8,2,width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_4-wb_2-layer,conv2/Convolution,6489558,5887446,616562688,24576,1233125376,1233125376,1233125376,12845056,629432320,616562688,192,65536,16384,32768,16
16,32,8,2,width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_4-wb_2-layer,conv-b2/Convolution,2274657,2073953,411041792,2048,308281344,308281344,411041792,25690112,231213056,205520896,192,65536,16384,32768,16
